Pic,Pic #of char,Description - can be same as pic,direct quote,Description #of char,Reference,Provider,Ready for production,Maria Aproved,Ben Approuved
Love is a state of being.,25,"Your love is not outside; it is deep within you. You can never lose it, and it cannot leave you.",Yes,96,Eckhart Tolle,Maria,yes,1,1
Love is not an emotion.,23,Love is a state of being in harmony with oneself.,Yes,49,Anodea Judith,Maria,yes,1,1
Love is not directed to one person.,35,"Believing that we only get one soulmate is a trap that is based on fear — fear of loving and losing again. When you look at your ability to connect with friends and family, clearly you’re capable of loving more than one person.",Yes,227,"Seth Meyers, Psy.D.",Maria,yes,1,1
Love is contagious.,19,Someone who experienced true love wants to share it further. ,No,61,Maria,Maria,yes,1,1
Love is patient and kind.,25,"The heart in love remains soft and sensitive. But when you’re hell-bent on getting this or the other thing, you become ruthless, hard, and insensitive. ",Yes,152,Anthony de Mello,Maria,yes,1,1
Love is not possesive. ,23,"How can you love people when you need people? You can only use them. If I need you to make me happy, I’ve got to use you, I’ve got to manipulate you, I’ve got to find ways and means of winning you. I cannot let you be free",Yes,222,Anthony de Mello,Maria,yes,1,1
Letting go is probably the most difficult quality of love.,58,"I can only love people when I have emptied my life of people. When I die to the need for people, then I’m right in the desert. In the beginning it feels awful, it feels lonely, but if you can take it for a while, you’ll suddenly discover that it isn’t lonely at all. It is solitude, it is aloneness, and the desert begins to flower.",Yes,332,Anthony de Mello,Maria,yes,1,1
Trust is reality not in your concepts.,38,Do not expect the world to fit into your interpretations. Trust only what is.,No,77,Maria,,yes,1,1
There is nothing (and everything) that defines you.,51,Trying to define yourself is like trying to bite your own teeth.,Yes,64,Allan Watts ,Maria,yes,1,1
"Do not fight with your thoughts, be at peace with them.",55,"Every thought, every feeling, is a visitor. You just say: Welcome! Come in and sit with me.",Yes,91,Pamela Wilson,Maria,yes,1,1
Each of us is a perspective.,28,Thats the only thing that stays consistent about us through life.,No,65,Maria,Maria,yes,1,1
Loss is not about what was you lost it is about you.,52,We experience losses when we had identified with what was lost. We have to let go part of our identity in the grief process.,No,124,Maria,Maria,yes,1,1
Lose and you will find.,23,"When I had nothing to lose, I had everything. When I stopped being who I am, I found myself.",Yes,92,Paulo Coelho,Maria,yes,1,1
One cannot lose love.,21,"No one loses anyone, because no one owns anyone. That is the true experience of freedom: having the most important thing in the world without owning it",Yes,151,Paulo Coelho,Maria,yes,1,1
Love is fearless.,17,There are basically two movements of consciousness: Love and Fear. Love is allowing what is and fear is resisting it.,Yes,117,Nirmala,Maria,yes,1,1
One grows though experience.,28,"It is possible to avoid pain? Yes, but you’ll never learn anything. Is it possible to know something without ever having experiencing it? Yes, but it will never truly be part of you.",Yes,182,Paulo Coelho,Maria,yes,1,1
Ego develops over lifetime to finally disolve.,46,"The moment you become aware of the ego in you, it is strictly speaking no longer the ego, but just an old, conditioned mind-pattern. Ego implies unawareness. Awareness and ego cannot coexist.",Yes,191,Eckhart Tolle,Maria,yes,1,1
Internet is a form of global consiousness.,42,Technology is destructive only in the hands of people who do not realize that they are one and the same process as the universe.,Yes,128,Allan Watts,Maria,yes,1,1
Developed ego plays with the world.,35,"Need to evaluate things and persons is abandoned. Merging with the world, no more holding, but engaging in the flow of things. Playful alternation between seriousness and triviality, intermingling of different states of consciousness, thinking in time cycles and historical dimensions, full acceptance of differences and people as they are.",Yes,340,Loevinger's 9 Stages of Ego Development,Maria,yes,1,1
Relaxing is a skill to be practiced.,36,Often overachievers are passionate about many things. Yet it's important to learn not to always care so much. Try being indifferent to things that aren't that important.,Yes,169,Ben's notes,Maria,yes,1,1
Restlessness will kill you.,27,"The meaning of life is just to be alive. It is so plain and so obvious and so simple. And yet, everybody rushes around in a great panic as if it were necessary to achieve something beyond themselves.",Yes,199,Allan Watts,Maria,yes,1,1
You've got to give trust to get trust.,38,"If you cannot trust yourself, you cannot even trust your mistrust of yourself – so that without this underlying trust in the whole system of nature you are simply paralyzed.",Yes,173,"Ben's notes, Allan Watts",Maria,yes,1,1
Start with finding the now.,27,No valid plans for the future can be made by those who have no capacity for living now.,Yes,87,Allan Watts,Maria,yes,1,1
Being powerless is being powerful.,34,The strongest love is the love that can demonstrate its fragility.,Yes,66,Paulo Coelho,Maria,yes,1,1
